Invoice Created Date,Year,Month,Quarter,QY,Commodity,Description,Supplier,Reporting Total,PO Ship-To City,Chart Of Accounts,Accounting Total Currency,Invoice #
6/27/2025,2025,6,Q2,Q2-2025,Hardware/Fasteners,DUALSLIM CAT3 RJ12 CSK,DIGI KEY ELECTRONICS_US_50051980,9.33,Asheville,US_500-BAAN,USD,113904668
6/27/2025,2025,6,Q2,Q2-2025,Electronic Components,SWITCH SELECT 3POS DPST 10A 110V,DIGI KEY ELECTRONICS_US_50051980,32.64,Asheville,US_500-BAAN,USD,113904668
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,223.46,Asheville,US_500-BAAN,USD,4234664176
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,589.19,Asheville,US_500-BAAN,USD,4234663868
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,20.83,Asheville,US_500-BAAN,USD,4234663688
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,229.67,Asheville,US_500-BAAN,USD,4233938195
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,589.19,Asheville,US_500-BAAN,USD,4233937983
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,20.83,Asheville,US_500-BAAN,USD,4233937685
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,210.43,Asheville,US_500-BAAN,USD,4233201136
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,589.19,Asheville,US_500-BAAN,USD,4233201066
6/27/2025,2025,6,Q2,Q2-2025,Uniforms,Cintas Uniform Service Blanket for 2024/2025,CINTAS #223_US_70680353,20.83,Asheville,US_500-BAAN,USD,4233200721
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,48" L x 43" W 16 Micron ORMADUS[REG] 56 gal Clear,FASTENAL CO_US_323253,97.96,Asheville,US_500-BAAN,USD,NCBUN88107
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,58" L x 38" W 1.70 mil ORMADUS[REG] 60 gal Black L,FASTENAL CO_US_323253,114.32,Asheville,US_500-BAAN,USD,NCBUN88107
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,1200mL Green Tranquil Aloe[REG] enMotion[REG] Liqu,FASTENAL CO_US_323253,45.2,Asheville,US_500-BAAN,USD,NCBUN88107
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,1gal Original Dawn[REG] Manual Pot and Pan Deterge,FASTENAL CO_US_323253,46.56,Asheville,US_500-BAAN,USD,NCBUN88109
6/27/2025,2025,6,Q2,Q2-2025,MRO Services, HSS 1 x 1 x 11ga. x 20’-0” ,DAVE STEEL COMPANY_US_70649100,568,Asheville,US_500-BAAN,USD,W30695I-1
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,HSS 2 x 2 x ¼ x 20’-0”,DAVE STEEL COMPANY_US_70649100,216.5,Asheville,US_500-BAAN,USD,W30695I-1
6/27/2025,2025,6,Q2,Q2-2025,MRO Services,Bulk Nitrogen Sitewide,AIRGAS USA LLC_US_69316438,1742.52,Asheville,US_500-BAAN,USD,9162374610
6/27/2025,2025,6,Q2,Q2-2025,OEM - Kitting,Three-Piece Jaw for Mandrel-Collecting Air-Powered Tool for Blind Rivets,MCMASTER-CARR SUPPLY CO_US_50004682,376.1,Asheville,US_500-BAAN,USD,47910233
6/27/2025,2025,6,Q2,Q2-2025,OEM - Kitting,1.5&quot; Diameter Shop-Vac 905-13 Crush-Resistant Hose for Shop-Vac Vacuum,MCMASTER-CARR SUPPLY CO_US_50004682,80.76,Asheville,US_500-BAAN,USD,47930740
6/26/2025,2025,6,Q2,Q2-2025,Industrial Gases,Weekly Dry Ice Blanket PO,AIRGAS DRY ICE_US_231711,493.84,Asheville,US_500-BAAN,USD,9162368040
6/26/2025,2025,6,Q2,Q2-2025,Cafe Services,2024 Blanket PO for Cafeteria Services ,"WHITT'S CATERING SERVICE, INC_US_70653759",295.01,Asheville,US_500-BAAN,USD,6544
6/26/2025,2025,6,Q2,Q2-2025,Industrial Supplies,2025 Blanket PO for Striped Towels,CINTAS #223_US_70680353,235.92,Asheville,US_500-BAAN,USD,4233937629
6/26/2025,2025,6,Q2,Q2-2025,Site Equipment Spare Parts,1/2" Poly Air Hose,CROSS COMPANY_US_70649147,530,Asheville,US_500-BAAN,USD,IN902129
6/26/2025,2025,6,Q2,Q2-2025,Waste Management,Feed Me Foam blanket PO ,FEED ME FOAM LLC_US_70923711,447.74,Asheville,US_500-BAAN,USD,FMFTFSLDPE1036
6/26/2025,2025,6,Q2,Q2-2025,Cafe Services,2024 Blanket PO for Cafeteria Services ,"WHITT'S CATERING SERVICE, INC_US_70653759",321,Asheville,US_500-BAAN,USD,6542
6/26/2025,2025,6,Q2,Q2-2025,Production Equipment and Supplies,Floor Tape For Press,INSITE SOLUTIONS LLC_US_70649913,378,Asheville,US_500-BAAN,USD,0186857-IN
6/26/2025,2025,6,Q2,Q2-2025,OEM - Kitting,"Mobile Maple-Top Table, 48&quot; Wide x 24&quot; Deep Overall",MCMASTER-CARR SUPPLY CO_US_50004682,636.84,Asheville,US_500-BAAN,USD,47822808
6/25/2025,2025,6,Q2,Q2-2025,Production Equipment and Supplies,"CGOLDENWALL Automatic Label Rewinder Machine, Bidirectional Rewinding, Corefree/1""/1.5""/3"" Core, Max Label Diameter 7.8"" Width 4.7"", Speed Adjustable, Auto-sync with Printers, 100V-240V",AMAZON CAPITAL SERVICES INC_US_70345775,147,Asheville,US_500-BAAN,USD,1NF9-VVMN-W3WK
6/25/2025,2025,6,Q2,Q2-2025,Site Infrastructure,S2 Lenal Card Access System,JOHNSON CONTROLS INC_US_69303381,7527.17,Asheville,US_500-BAAN,USD,00048471329
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,237.21,Asheville,US_500-BAAN,USD,8760590-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,212.04,Asheville,US_500-BAAN,USD,8760592-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,52.76,Asheville,US_500-BAAN,USD,8760593-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,208,Asheville,US_500-BAAN,USD,8760594-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,1588.68,Asheville,US_500-BAAN,USD,8762944-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,349.69,Asheville,US_500-BAAN,USD,8762945-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,101.54,Asheville,US_500-BAAN,USD,8762947-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,89.12,Asheville,US_500-BAAN,USD,8762948-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,158.92,Asheville,US_500-BAAN,USD,8762949-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,370.25,Asheville,US_500-BAAN,USD,8760591-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,186.79,Asheville,US_500-BAAN,USD,8718344-01
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,28.71,Asheville,US_500-BAAN,USD,8730204-01
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,32.74,Asheville,US_500-BAAN,USD,8755000-01
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,428.9,Asheville,US_500-BAAN,USD,8755005-01
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,50.35,Asheville,US_500-BAAN,USD,8757877-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,87.92,Asheville,US_500-BAAN,USD,8757880-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,76.41,Asheville,US_500-BAAN,USD,8758968-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,295.58,Asheville,US_500-BAAN,USD,8758969-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,1364.26,Asheville,US_500-BAAN,USD,8758970-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,248.92,Asheville,US_500-BAAN,USD,8759905-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,791.18,Asheville,US_500-BAAN,USD,8758965-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,503.74,Asheville,US_500-BAAN,USD,8758967-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,446.63,Asheville,US_500-BAAN,USD,8760588-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,81.58,Asheville,US_500-BAAN,USD,8760589-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,87.92,Asheville,US_500-BAAN,USD,8758966-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,41.31,Asheville,US_500-BAAN,USD,8736521-02
6/25/2025,2025,6,Q2,Q2-2025,Construction Spend,Backup Generator for IT Servers,M.B. HAYNES CORP._US_70650392,5000,Asheville,US_500-BAAN,USD,C5032-1
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,156.98,Asheville,US_500-BAAN,USD,8756989-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,56.31,Asheville,US_500-BAAN,USD,8756990-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,746.25,Asheville,US_500-BAAN,USD,8756991-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,162.28,Asheville,US_500-BAAN,USD,8756992-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,146.83,Asheville,US_500-BAAN,USD,8756993-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,60.79,Asheville,US_500-BAAN,USD,8756994-00
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,93.78,Asheville,US_500-BAAN,USD,8756995-00
6/25/2025,2025,6,Q2,Q2-2025,Material Handling Equipment,MGF09 9-1/4"H 12-22 Gauge Range Ceramic Magnetic S,FASTENAL CO_US_323253,439.74,Asheville,US_500-BAAN,USD,NCBUN88070
6/25/2025,2025,6,Q2,Q2-2025,Production Equipment and Supplies,Floor Tape For Press,INSITE SOLUTIONS LLC_US_70649913,498.96,Asheville,US_500-BAAN,USD,0186826-IN
6/25/2025,2025,6,Q2,Q2-2025,IT Consultant Services,ModulusPI_Alchemist Support_2025_Jan-Dec,MODULUSPI IT SOLUTIONS PVT LTD_US_70715974,3870,Asheville,US_500-BAAN,USD,INVSVC202506303583
6/25/2025,2025,6,Q2,Q2-2025,Chemical Elements,ISOBUTANE CP SIZE LP1 CGA 510,AIRGAS USA LLC_US_69316438,957.51,Asheville,US_500-BAAN,USD,9162337792
6/25/2025,2025,6,Q2,Q2-2025,Industrial Gases,METHANE CP GRADE SIZE 80,AIRGAS USA LLC_US_69316438,258,Asheville,US_500-BAAN,USD,9162337800
6/25/2025,2025,6,Q2,Q2-2025,Site Infrastructure,Roof Repair,BAKER ROOFING COMPANY LLC_US_71185330,3250,Asheville,US_500-BAAN,USD,9040376201
6/25/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,PROFLEX 4000 WRST LHLRGBK,THERMO FISHER (FISHER SCI)_US_292344,40.12,Asheville,US_500-BAAN,USD,1842210X
6/25/2025,2025,6,Q2,Q2-2025,OEM - Kitting,"Heavy Duty Single Strand Roller Chain, ANSI Number 60H, 3/4&quot; Pitch, 12 Feet Long",MCMASTER-CARR SUPPLY CO_US_50004682,163.68,Asheville,US_500-BAAN,USD,47761987
6/25/2025,2025,6,Q2,Q2-2025,OEM - Kitting,Connecting Link for ANSI Number 60H Heavy Duty Single Strand Roller Chain,MCMASTER-CARR SUPPLY CO_US_50004682,17.34,Asheville,US_500-BAAN,USD,47761987
6/25/2025,2025,6,Q2,Q2-2025,OEM - Kitting,Adding Link for ANSI Number 60H Heavy Duty Single Strand Roller Chain,MCMASTER-CARR SUPPLY CO_US_50004682,14.88,Asheville,US_500-BAAN,USD,47761987
6/25/2025,2025,6,Q2,Q2-2025,OEM - Kitting,Adding-and-Connecting Link for ANSI Number 60H Heavy Duty Single Strand Roller Chain,MCMASTER-CARR SUPPLY CO_US_50004682,36.48,Asheville,US_500-BAAN,USD,47761987
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,81.85,Asheville,US_500-BAAN,USD,8718341-01
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,45.58,Asheville,US_500-BAAN,USD,8736520-01
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,376.19,Asheville,US_500-BAAN,USD,8742625-03
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,1394.94,Asheville,US_500-BAAN,USD,8748791-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,161.23,Asheville,US_500-BAAN,USD,8750834-01
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,859.59,Asheville,US_500-BAAN,USD,8756984-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,185.38,Asheville,US_500-BAAN,USD,8756985-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,921.89,Asheville,US_500-BAAN,USD,8756986-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,245.9,Asheville,US_500-BAAN,USD,8756987-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,53.48,Asheville,US_500-BAAN,USD,8756988-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,860.08,Asheville,US_500-BAAN,USD,8754996-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Heat Exchange Blanket 101300,ENDRIES INTERNATIONAL INC_US_70579175,81.58,Asheville,US_500-BAAN,USD,8754997-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,219.93,Asheville,US_500-BAAN,USD,8754998-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,15.82,Asheville,US_500-BAAN,USD,8754999-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,243.97,Asheville,US_500-BAAN,USD,8755000-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,101.54,Asheville,US_500-BAAN,USD,8755002-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,358.69,Asheville,US_500-BAAN,USD,8755003-00
6/24/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,152.5,Asheville,US_500-BAAN,USD,8755004-00
